AS134637;VELTRA-AS-ID PT.VELTRATEL;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 101]
AS134643;JKSNET-AS-ID PT Jaya Kartha Solusindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 290]
AS134650;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 156]
AS134655;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1536]
AS134658;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 227]
AS135439;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 350]
AS135449;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 603]
AS135450;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 328]
AS135459;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 113]
AS17538;CIRCLECOM-AS-ID-AP PT. Circlecom Nusantara Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 287]
AS17553;IPBNET-AS-AP Bogor Agricultural University;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1929]
AS17658;PRIMANET-AS PrimaNet - PT. Khasanah Timur Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 4884]
AS17670;INFOKOM-AS MNC Playmedia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 108061]
AS17671;ASN-JETCOMS JETCOMS-ID Autonomous system;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1225]
AS17676;GIGAINFRA Softbank BB Corp.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 151]
AS17725;PHEONWJ-AS-ID Pertamina Hulu Energi ONWJ;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 62]
AS17826;SATATANET-ID Jl. Raya Pasar Minggu no 99D;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 137]
AS17884;UNINET-AP PT. Uninet Media Sakti (ISP);v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 960]
AS17885;JKTXLNET-AS-AP PT Excelcomindo Pratama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1310]
AS17910;TRIPLEGATE-ID-AP TRIPLEGATE-ASN;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1122]
AS17974;TELKOMNET-AS2-AP PT Telekomunikasi Indonesia;v: 0.01 f:'0.01%' ;v: 0.00 f: '0.00%' 3414805]
AS17995;SOLUSINET-AS-ID PT iForte Global Internet;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1596]
AS18004;WIRELESSNET-ID PT WIRELESS INDONESIA ( WIN );v: 0.01 f:'0.01%' ;v: 0.00 f: '0.00%' 217896]
AS18007;INHERENT-AS-ID-AP INHERENT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 123]
AS18051;JARDIKNAS-AS-AP Pustekkom;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 301]
AS18056;ABADINET-AS-AP Pt Mithaharum Abadi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 664]
AS18059;DTPNET-AS-AP DTPNET NAP;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2321]
AS18103;NEUVIZ-AS-ID-AP Neuviz Net;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 21022]
AS18112;KSNET-ID-AS-AP PT. Sejuta Jaring Global;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 58]
AS18153;MULTIDATA-ID-AP PT Multidata Rancana Prima;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 79]
AS18156;BITNET-ID-AP BITNET ISP AS;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 559]
AS18365;GRAMEDIA-ID GRAMEDIA PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 531]
AS18393;JAVA-AS-AP Java Online PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 480]
AS18394;UPI-AS-ID Universitas Pendidikan Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1078]
AS23666;SISTELINDO-AS-ID PT Sistelindo Mitralintas;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 127]
AS23671;JMN-AS-ID Jogja Medianet;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 10022]
AS23691;MITRA-NET-AS-AP PT Multi Teknologi Sejahtra;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 513]
AS23693;TELKOMSEL-ASN-ID PT. Telekomunikasi Selular;v: 0.02 f:'0.02%' ;v: 0.00 f: '0.00%' 1007289]
AS23695;ELGANET-AS-ID ELGANET-ASN PT. Elga Yasa Media Internet Service;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 96]
AS23698;VIPNET-AS-ID VIP.NET - Internet Service Provider;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 56]
AS23699;EZNET-AS-ID IP Teknologi Komunikasi PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 512]
AS23700;FASTNET-AS-ID Linknet-Fastnet ASN;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 936139]
AS23756;PADINET-AS-ID PADINET - Padi Internet;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1307]
AS23950;GENID-AS-ID Generasi Indonesia Digital PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 364]
AS23953;SCBDNET-AS-ID PT ARTHA TELEKOMINDO;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 4900]
AS24195;DHECYBER-AS-ID Dhecyber Flow Indonesia PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 134]
AS24197;BIGNET-AS-ID Elka Prakarsa Utama PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 189]
AS24200;CAKRAMEDIA-AS-ID PT. Cakramedia Indocyber;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 476]
AS24201;ANDALASMEDIA-AS-ID PT. Andalas Media Informatika;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1205]
AS24203;NAPXLNET-AS-ID PT Excelcomindo Pratama (Network Access Provider);v: 0.02 f:'0.02%' ;v: 0.00 f: '0.00%' 475022]
AS24204;SATNETCOM-AS-ID Satnetcom Balikpapan PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 238]
AS24205;BANKPERMATA-THIS-AS-IDNIC-ID PT. Bank Permata Tbk.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 67]
AS24210;ANGKASAWAVE-AS-ID Angkasa Sarana Teknik Komunikasi PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 294]
AS24211;DETIK-AS-ID PT. Detik Ini JUga;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 935]
AS24212;JASNET-AS-ID PT. JASNITA TELEKOMINDO;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 112]
AS24213;ARSEN-AS-ID PT. Arsen Kusuma Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1280]
AS24523;ORION-AS-ID Orion Cyber Internet;v: 0.02 f:'0.02%' ;v: 0.00 f: '0.00%' 4487]
AS24524;IDNIC-ID Indonesia Network Information Center;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 171]
AS24525;SAP-AS-ID PT Solusi Aksesindo Pratama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 669]
AS24526;BINUS Bina Nusantara University;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1589]
AS24527;DAKARANET-AS-ID Internet Service Provider;v: 0.03 f:'0.03%' ;v: 0.00 f: '0.00%' 3175]
AS24530;POWERNET-AS-ID PT. Power Telecom Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1538]
AS24535;ISATNET-AS-ID PT.Insan Sarana Telematika;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1412]
